feature,mae_increase_when_shuffled,std
W,1.6741,0.1142
ADJOE,0.7617,0.0689
WIN_RATE,0.6604,0.0615
ADJDE,0.6337,0.0599
BARTHAG,0.4026,0.0544
WAB,0.3957,0.051
2P_D,0.1335,0.0323
DRB,0.0625,0.0147
TORD,0.0557,0.0139
EFG_D,0.0339,0.0153
3P_D,0.0318,0.0169
TOR,0.0282,0.0115
CONF,0.025,0.0143
ORB,0.0243,0.0088
EFG_O,0.0212,0.0108
FTRD,0.0032,0.0046
2P_O,0.0002,0.0004
3P_O,-0.0,0.0069
FTR,-0.0005,0.0093
ADJ_T,-0.0011,0.0092
SEED_NUM,-0.0019,0.0019
