feature,mae_increase_when_shuffled,std
G,0.4638,0.0531
BARTHAG,0.0554,0.0182
ADJOE,0.0187,0.01
SEED_NUM,0.0182,0.0087
2P_D,0.0135,0.006
W,0.0105,0.0115
ADJDE,0.0081,0.0088
EFG_O,0.0078,0.0048
EFG_D,0.0044,0.0011
2P_O,0.0043,0.0046
FTRD,0.0025,0.0027
ADJ_T,0.0014,0.0016
TOR,0.0008,0.0028
CONF,0.0007,0.0021
DRB,-0.0012,0.0036
ORB,-0.0014,0.0044
WIN_RATE,-0.0026,0.0019
TORD,-0.0027,0.0011
WAB,-0.0027,0.0046
3P_D,-0.0044,0.0022
3P_O,-0.0073,0.0061
FTR,-0.0126,0.0065
